id,module,name,type,stage,stage_name,gb_principle,citation_text,reg_ids,ds_ids,open_oversight_rec,analytics_technique,applies_to,dmepos,trigger,owner,system_touchpoint,evidence_artifact,frequency,failure_mode
MD-01,Module 07 — Medicaid & CHIP Integrity,Risk-based provider screening at enrollment (limited/moderate/high) incl. ordering/referring,Preventive,3,Enrollment,P10,"42 CFR 455.410, .450 (risk-based screening levels); CMS State Medicaid Manual (Pub 100-12)",REG-026; REG-042,DS-17,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,New enrollment application,Provider enrollment unit,MMIS / provider enrollment system,Risk-level & screening determination record,Per app,Unscreened/ineligible provider enrolled
MD-02,Module 07 — Medicaid & CHIP Integrity,Provider revalidation (>=5-yr) + reactivation re-screening,Detective,3,Enrollment,P10,42 CFR 455.414 (revalidation); 455.450 (reactivation re-screening),REG-027,,,Cycle tracking,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Revalidation cycle / lapse,Provider enrollment unit,Enrollment revalidation queue,Revalidation status report,Per cycle,Dormant/stale provider record misused
MD-03,Module 07 — Medicaid & CHIP Integrity,Ownership/control & business-transaction disclosure capture + verification,Preventive,3,Enrollment,P10,42 CFR 455.104-.106 (ownership/control & business-transaction disclosure),REG-024,,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Application & any ownership change,Provider enrollment unit,Disclosure module,Completed disclosure schedule,Per app/change,Hidden ownership / undisclosed affiliates
MD-04,Module 07 — Medicaid & CHIP Integrity,"Federal-database screening of providers/owners (LEIE, SAM, Death Master) pre/post enrollment",Detective,3,Enrollment,P10,42 CFR 455.436 (LEIE/SAM/Death Master File database checks),REG-029; REG-048; REG-049,DS-01; DS-02; DS-03,,Matching,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Enrollment + monthly batch,PI analyst,Exclusion-screening engine,Monthly screening log + hit disposition,Monthly,Excluded/adverse actor bills Medicaid
MD-05,Module 07 — Medicaid & CHIP Integrity,On-site visits (moderate/high) + fingerprint checks (high-risk 5%+ owners),Preventive,3,Enrollment,P10,42 CFR 455.432 (on-site visits); 455.434 (fingerprint/background checks),REG-028,,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Risk tier >= moderate,Site-visit / fingerprint vendor,Site-visit system,Site-visit report + fingerprint clearance,Per app + cyclic,Phantom/criminal-owned providers enrolled
MD-06,Module 07 — Medicaid & CHIP Integrity,Enrollee eligibility verification via authoritative electronic data sources,Preventive,2,Eligibility,P10,42 CFR Part 435 Subpart J (435.940-.965) - eligibility verification,REG-034,,,Data match,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Application & redetermination,Eligibility operations,Eligibility system / data hub,Verification record per data element,Per determination,Ineligible enrollee receives benefits
MD-07,Module 07 — Medicaid & CHIP Integrity,Interstate duplicate-enrollment matching (PARIS) - resolve & terminate,Detective,2,Eligibility,P10,42 CFR Part 455; GAO-25-106976 (2025) - interstate/PARIS enrollment matching (open rec),REG-036; REG-050; REG-062,DS-05,Yes,Data match,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Quarterly PARIS match,PI / eligibility data unit,PARIS interface,Match-resolution & termination log,Quarterly,Duplicate cross-state enrollment/benefits
MD-08,Module 07 — Medicaid & CHIP Integrity,Deceased-enrollee detection via SSA Death Master File match,Detective,2,Eligibility,P10,42 CFR 455.436; SSA Death Master File; OIG A-42109005 (open rec),REG-029; REG-048; REG-073,DS-03; DS-13,Yes,Matching,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Monthly DMF match,PI data analyst,T-MSIS/eligibility + DMF feed,DMF-match exception disposition,Monthly,Capitation/FFS paid for deceased enrollee
MD-09,Module 07 — Medicaid & CHIP Integrity,Concurrent multi-state MCO enrollment detection,Detective,6,Payment,P10,42 CFR 438.608; OIG A-05-20-00025 - concurrent capitation (open rec),REG-023; REG-065,,Yes,Matching,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Monthly enrollment scan,PI data analyst,Enrollment analytics,Concurrent-enrollment alert log,Monthly,Duplicate capitation across states
MD-10,Module 07 — Medicaid & CHIP Integrity,"MCO contract PI safeguards: FWA reporting, overpayment recovery, PI plan",Preventive,1,Governance,P16,42 CFR 438.608 (Medicaid managed-care PI safeguards),REG-023,,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Contracting & annual review,Managed care contract office,Contract management system,Executed PI contract provisions,Annual,MCO fails to detect/return FWA overpayments
MD-11,Module 07 — Medicaid & CHIP Integrity,State-directed payment & capitation actuarial-soundness oversight,Preventive,6,Payment,P10,42 CFR 438.4-.7 (actuarial soundness); 438.608,REG-022,,,Rate analytics,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Rate setting / directed-payment approval,Actuarial / managed care office,Rate-setting & 438.6 documentation,Actuarial certification + approval file,Per rate cycle,Unsound/unallowable directed payments
MD-12,Module 07 — Medicaid & CHIP Integrity,PERM / MEQC eligibility & claims sampling with error-rate measurement,Detective,7,Monitoring,P10,42 CFR Part 431 Subpart Q (PERM/MEQC); CMS PERM program,REG-033; REG-051,,,Sampling,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,PERM/MEQC cycle,Program-integrity office,PERM/MEQC sampling system,Sampled-case workpapers + error rate,Per cycle,Undetected improper-payment error rate
MD-13,Module 07 — Medicaid & CHIP Integrity,"Improper-payment corrective action plans addressing root causes, tracked to closure",Corrective,8,Corrective action,P17,42 CFR Part 431 Subpart Q; GAO-19-277 (2019) - CAP root-cause (open rec),REG-033; REG-056,,Yes,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,PERM/audit finding,Program-integrity office,CAP tracker,"CAP with owner, milestone, closure evidence",Per finding,Recurring improper payments (no root-cause fix)
MD-14,Module 07 — Medicaid & CHIP Integrity,Utilization control & SURS medical-review program,Detective,5,Documentation,P10,42 CFR Part 456 (utilization control/SURS); CMS State Medicaid Manual,REG-037,,,SURS,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Ongoing claims/utilization scan,Medical review / SURS unit,SURS analytics,Medical-review case dispositions,Continuous,Medically unnecessary / aberrant utilization
MD-15,Module 07 — Medicaid & CHIP Integrity,Documentation-requirement necessity & effectiveness review,Preventive,5,Documentation,P10,42 CFR Part 456; GAO-19-277 (2019) - documentation necessity (open rec),REG-037; REG-056,,Yes,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Policy design / annual review,Policy & PI office,Policy repository,Documentation-requirement review memo,Annual,Weak documentation enables improper claims
MD-16,Module 07 — Medicaid & CHIP Integrity,T-MSIS monthly submission + data-quality validation,Detective,7,Monitoring,P16,CMS T-MSIS (Transformed MSIS) monthly data submission,REG-053,DS-13,,Data QA,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Monthly T-MSIS build,T-MSIS / data unit,T-MSIS pipeline + DQ tool,T-MSIS data-quality exception report,Monthly,Incomplete data blinds PI analytics
MD-17,Module 07 — Medicaid & CHIP Integrity,Managed-care encounter/payment data completeness monitoring + state corrective action,Detective,7,Monitoring,P16,CMS T-MSIS; OIG OEI-03-20-00330 - encounter data quality (open rec),REG-053; REG-075,,Yes,Data QA,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Monthly encounter reconciliation,Managed care data unit,Encounter data warehouse,Encounter-completeness reconciliation,Monthly,Incomplete encounter data hides FWA
MD-18,Module 07 — Medicaid & CHIP Integrity,Credible-allegation-of-fraud payment suspension + MFCU referral,Corrective,8,Corrective action,P16,42 CFR 455.23 (payment suspension on credible allegation); 42 CFR Part 1007 (MFCU),REG-025; REG-030,,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Credible fraud allegation,Program-integrity office,Case management + suspension flag,Suspension notice + MFCU referral record,Per case,Continued payment to fraudulent provider
MD-19,Module 07 — Medicaid & CHIP Integrity,CMIP-aligned PI unit with analytics & UPIC coordination,Preventive,1,Governance,P3,SSA sec.1936; CMS Comprehensive Medicaid Integrity Plan (CMIP),,,,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Program design / annual review,Medicaid PI director,Governance & analytics platform,PI plan + UPIC coordination MOU,Annual,Fragmented PI without analytics capacity
MD-20,Module 07 — Medicaid & CHIP Integrity,CHIP Child Core Set / EPSDT reporting & performance evaluation,Detective,7,Monitoring,P16,42 CFR Part 457 (CHIP); GAO-19-481 (2019) - Child Core Set/EPSDT (open rec),REG-038; REG-057,,Yes,Measure reporting,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Annual reporting cycle,CHIP / quality office,Child Core Set reporting system,Child Core Set submission + gap analysis,Annual,Children miss required screenings; poor oversight
MD-21,Module 07 — Medicaid & CHIP Integrity,State PI financial management reviews (FMRs)/self-audits completed timely,Detective,7,Monitoring,P16,42 CFR 431.10; GAO-21-17 (2020) - state financial management reviews (open rec),REG-019; REG-058,,Yes,Manual / none,"State Medicaid & CHIP agencies, MCOs/CHIP plans, and their enrolled providers",no,Scheduled FMR / self-audit,Program-integrity office,FMR workpaper system,Completed FMR report + findings log,Per cycle,Untimely reviews leave PI gaps open
MD-22,Module 07 — Medicaid & CHIP Integrity,Incarceration/institutional-status match — suspend claims/capitation during incarceration,Detective,2,Eligibility,P10,"SSA §1905(a)(29)(A); 42 CFR 435.1009–.1010; CMS SHO 16-007/24-004; CAA 2024 (suspend-not-terminate, eff. 1/1/2026)",REG-001; REG-021; REG-044,DS-04,,Roster/claims data match (DOC/jail feeds vs eligibility + paid claims),State agency / MCO / program,no,Monthly DOC/jail roster match vs active eligibility + paid in-home/PCA claims,PI data analyst / eligibility unit,Eligibility system + corrections data feed,Monthly incarceration-match exception report + dispositions,Monthly,PCA/home-care billing while recipient incarcerated (Missouri MFCU 2026 pattern); capitation for incarcerated enrollees
MD-23,Module 07 — Medicaid & CHIP Integrity,"Nursing-facility cost-report rate-setting integrity check — cross-reference self-reported cost data against independent financial-distress indicators (payroll-tax delinquency, vendor/UCC collections, receivership/licensure-action status) before accepting/renewing per-diem rates",Detective,4,Authorization,"P7, P8, P16","42 CFR 447 Subpart C (Payment for Inpatient Hospital & Long-Term Care Facility Services; NF rate reasonableness, SSA §1902(a)(13)(A))",,,,Distress-indicator cross-match,State Medicaid agencies / rate-setting units,no,Facility/owner cost report submitted for per-diem rate-setting,State rate-setting / PI unit,Rate-setting system + state revenue / licensure / court data,Financial-distress screen result attached to each accepted cost report,Each cost-report cycle,Inflated self-reported costs driving overpaid per-diem rates at a financially-distressed facility (Skyline/Schwartz AR 2025 pattern)
MD-24,Module 07 — Medicaid & CHIP Integrity,"Self-directed-care approver-independence control — where a conservator/guardian/authorized representative approves attendant time, require an independent secondary check + relationship/conflict screen (shared address/family/account between representative and attendant) before payment",Preventive,5,Documentation,"P3, P10",42 CFR 441 Subpart G (HCBS §1915(c) waivers) & Subpart K (Community First Choice); 21st Century Cures Act §12006 → SSA §1903(l) (EVV mandate),,DS-13; DS-15; DS-16,,Relationship/identity-overlap screen,State HCBS programs & MCOs (self-directed care),no,Attendant time approved by a beneficiary's conservator/guardian/authorized representative,State HCBS PI / MCO,EVV / claims + representative & attendant registries,Conflict-screen result + representative-approved-claim sampling disposition,Continuous screen + quarterly sample,Representative-approver with a financial tie to the caregiver approving fabricated time (TennCare/Hughlett 2026 pattern)
MD-25,Module 07 — Medicaid & CHIP Integrity,"State-agency systemic-fraud escalation control — documented, time-bound escalation of any detected large-scale/systemic scheme from agency leadership to state AG/MFCU and HHS-OIG, with an independent audit trail evidencing the escalation",Preventive,7,Monitoring,"P1, P15, P16, P17",42 CFR 455.14–.23 (preliminary investigation → MFCU referral → payment suspension); 42 CFR 438.608 (MCO fraud referral),,DS-18,,Manual / none,State Medicaid agencies,no,Detection of a large-scale or systemic fraud scheme at the state Medicaid-agency level,State Medicaid agency leadership + independent auditor,Case-management / referral system + audit trail,Dated escalation record + auditor confirmation,Event-driven + annual attestation,"Detected systemic scheme (e.g., foreign-based mass enrollment) not escalated to law enforcement/oversight (OHCA/OK 2026 pattern)"
MD-26,Module 07 — Medicaid & CHIP Integrity,NEMT unit-of-service / shared-ride integrity edit — flag per-passenger billing of shared trips (each rider billed as a separate trip) and implausible trip distance/frequency,Detective,6,Payment,"P10, P11",42 CFR 440.170(a) (Medicaid transportation benefit; NEMT brokerage §440.170(a)(4); cf. §431.53),,DS-13; DS-15,,Shared-ride / trip-plausibility analytics,State Medicaid agencies & MCOs (NEMT),no,Multiple beneficiaries transported together but billed as separate trips; or implausible trip distance/frequency per beneficiary,PI data analyst / TPL unit,NEMT claims + trip/EVV data,Shared-ride / unit-inflation exception report,Monthly,Per-passenger-as-separate-trip inflation + phantom/implausible trips (Irving NM NEMT 2026 pattern)
PE-20,Module 01 — Provider Enrollment,Synthetic-identity & deepfake identity-proofing at enrollment / high-risk change — liveness & deepfake check on submitted identity documents plus cross-registry consistency (NPPES/PECOS/LEIE/SAM) to catch AI-fabricated provider or beneficiary identities,Preventive,3,Enrollment,"P10, P11",42 CFR 455.410/.436 (Medicaid provider screening); 42 CFR 424.500-.570 (Medicare enrollment & identity); NIST AI RMF Generative AI Profile (synthetic-content risk),,DS-01; DS-02; DS-06,,Liveness/deepfake + registry cross-match,Payers; provider enrollment & credentialing units,no,New enrollment / high-risk info change,Enrollment specialist / credentialing,PECOS / credentialing intake + ID-verification service,Identity-proofing log (liveness result + registry cross-match) per applicant,Per app / high-risk change,AI-fabricated (synthetic or deepfaked) provider/beneficiary identity passing screening
PI-24,Module 02 — Program Integrity,"AI-fabricated-evidence corroboration analytics — treat submitted documentation as a claim to be independently confirmed: verify the service/encounter actually occurred from source-obtained data the submitter does not control (EVV, dispensing, scheduling, cross-payer) rather than from the document itself",Detective,7,Monitoring,"P16, P11",42 CFR 455 Subpart A (Medicaid fraud detection); NIST AI RMF (AI 100-1) + Generative AI Profile (content provenance / corroboration),,DS-15; DS-14; DS-12; DS-13,,Corroboration / cross-source matching,Payers; SIU & program-integrity units,no,Prepayment / post-payment review of high-risk or audit-flagged claims,SIU / program-integrity analytics,Claims + external corroboration feeds,Corroboration-mismatch exception report,Continuous / per review cycle,Payment on AI-generated fabricated documentation that passes visual audit
CD-20,Module 05 — Coverage & Documentation,"AI-generated / altered document & image provenance screening — check content provenance (C2PA / Content Credentials manifests) and file metadata on high-risk supporting documents, audit-response packets, HRAs, certifications and diagnostic images; absent or broken provenance is a triage flag, not proof",Detective,5,Documentation,"P16, P11",NIST AI RMF Generative AI Profile (content provenance); C2PA / Content Credentials specification; builds on CD-07 (copy-forward) & CD-13 (amendment integrity),,,,Provenance/metadata + AI-generation detection,Payers & providers (documentation / HIM),no,Receipt of high-risk supporting documentation / ADR response,HIM / documentation-integrity reviewer,Document-management / intake system,Provenance & metadata screening result per high-risk document,Per high-risk submission,Fabricated or AI-altered documents/images accepted as valid support
AG-01,Module 08 — AI & Analytics Governance,"AI governance to NIST AI RMF + Generative AI Profile — maintain a model inventory with intended-use statements, pre-deployment testing, a human-in-the-loop gate before any adverse action, and incident disclosure for any AI/analytics used in coverage, adjudication or fraud detection (mirrors OIG CIA AI attestation). See Module 08 assessment (G1 adversary / G2 adjudication batteries)",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",NIST AI RMF (AI 100-1) + Generative AI Profile (NIST-AI-600-1); OIG Corporate Integrity Agreement AI provisions,,DS-18,,Governance register / model inventory,Payers & provider orgs using AI/algorithms,no,,,,,,
MC-23,Module 06 — Managed Care (Part C/D),"Two-sided utilization / under-service (stinting) monitoring — under capitation and downside/full financial risk, flag panels whose delivery of guideline-indicated services falls below risk-matched peers given the acuity the entity itself coded (the mirror image of overbilling detection)",Detective,7,Monitoring,"P16, P11",42 CFR 422.208/.210 (physician incentive plan / stinting safeguards); 42 CFR 1001.952(ee)-(gg) VBE safe-harbor anti-stinting conditions,,DS-12; DS-13; DS-15,,Two-sided utilization vs peer benchmark,MA (Part C) & Part D plans; ACO REACH & downside/full-risk VBEs; Medicaid managed care (MC-20),no,Quarterly utilization monitoring under capitation / downside or full risk,SIU / program-integrity analytics,Encounter/claims + risk-score warehouse,Under-service exception report vs risk-matched peer benchmark,Quarterly,Stinting — denial/delay of necessary care to increase capitation margin
MC-24,Module 06 — Managed Care (Part C/D),Favorable-selection detection (cherry-picking / lemon-dropping) — monitor enrollee risk-mix skew versus market and disenrollment timing relative to a member becoming high-cost,Detective,7,Monitoring,"P16, P11",42 CFR 422.110 (non-discrimination / selection); 42 CFR 1001.952 VBE anti-steering conditions; ACO REACH beneficiary-alignment rules,,DS-12; DS-13,,Risk-mix skew + disenroll-timing analytics,MA (Part C) plans; ACO REACH & VBEs; Medicaid managed care,no,Enrollment/disenrollment monitoring cycle,Compliance + actuarial/analytics,Enrollment/disenrollment + risk-score data,Risk-mix skew & disenroll-timing exception report,Quarterly (annual risk-mix),"Favorable selection — recruiting healthy, shedding high-cost members"
MC-25,Module 06 — Managed Care (Part C/D),"VBE anti-kickback safe-harbor guardrail conformance — test each value-based arrangement for an accountable body, a governing document, and the anti-steering / anti-stinting safeguards its safe-harbor tier requires (care-coordination / substantial-downside-risk / full-financial-risk)",Preventive,1,Governance,"P1, P2, P3 (Control Environment)","42 CFR 1001.952(ee),(ff),(gg) (AKS value-based-enterprise safe harbors, eff. 2021); 42 USC 1320a-7b(b); OIG 2026 safe-harbor RFI",,DS-09; DS-16,,Guardrail conformance checklist,VBEs; MA plans; ACOs; participating providers,no,New / renewed value-based arrangement,Compliance + legal,Contract / arrangement repository,Safe-harbor guardrail conformance checklist per arrangement,Per arrangement + annual,Kickbacks/steering/stinting disguised as value-based payment
MC-26,Module 06 — Managed Care (Part C/D),Quality-measure integrity validation — reconcile reported quality-measure numerators that gate shared-savings / bonus payments against independent utilization evidence for a sampled measure set,Detective,7,Monitoring,"P16, P11",42 CFR 422.162-.166 (Star Ratings program); Medicare Shared Savings / ACO quality-gating rules,,DS-12; DS-13,,Numerator corroboration sampling,MA plans; ACOs / ACO REACH; VBEs,no,Quality reporting cycle / bonus gating,Quality + compliance,Quality-measure & utilization data,Measure-numerator reconciliation sample,Annual (per measure set),Quality-metric gaming to unlock shared-savings/bonus
MC-27,Module 06 — Managed Care (Part C/D),Risk-model transition (V24 to V28) acuity-drift monitoring — track coding-pattern and acuity drift across the CMS-HCC model transition against expected impact and isolate the conditions driving disproportionate risk-score gains,Detective,7,Monitoring,"P16, P11",42 CFR 422.308 (risk adjustment); CMS-HCC V28 phase-in; HHS-OIG 2026 Work Plan (V24-vs-V28 comparison),,DS-12,Yes,Acuity-drift / model-delta analytics,MA (Part C) plans / sponsors,no,Risk-adjustment submission cycle during V28 phase-in,Risk-adjustment + compliance analytics,Diagnosis/HCC submission + risk-score data,Acuity-drift / model-delta report,Quarterly,Upcoding masked by model-transition acuity inflation
MC-28,Module 06 — Managed Care (Part C/D),"AI-authored risk-adjustment coding human-oversight attestation — where AI/NLP generates or suggests diagnosis codes for risk-adjustment submission, require a documented, auditable human review-and-sign-off gate before submission (a qualified coder retains/rejects each AI-surfaced HCC with a stated basis), plus periodic back-testing of AI-suggested vs. human-confirmed codes",Preventive,6,Payment,"P11, P16",42 CFR 422.308 (risk adjustment); 42 CFR 422.504(l) (data certification); NIST AI RMF 1.0 + Generative AI Profile (NIST-AI-600-1); OMB M-25-21 (human review of high-impact AI); ACFE 2026 Report to the Nations (MA risk-adjustment AI-without-oversight),,DS-12,No,AI-vs-human coding back-test / sign-off attestation logging,MA (Part C) plans / sponsors; risk-adjustment coding vendors,no,AI/NLP used to generate or suggest diagnosis codes in a risk-adjustment submission cycle,Risk-adjustment coding lead + compliance,NLP/AI coding tool + HCC/diagnosis submission (RAPS/EDS) workflow,Per-submission (or sampled) human sign-off log + AI-vs-human back-test report,Per submission (sampled); back-test quarterly,Unreviewed AI-generated/suggested diagnoses inflate risk scores (AI-enabled upcoding without human oversight)
